Date,Open,High,Low,Close,Volume
10/27/2015,18:30,25.839,25.911,25.772,25.902,721950
10/27/2015,19:00,25.898,25.94,25.862,25.929,463290
10/27/2015,19:30,25.929,25.986,25.927,25.963,419022
10/28/2015,04:00,26.085,26.188,26.085,26.177,92593
10/28/2015,04:30,26.154,26.272,26.154,26.265,41640
10/28/2015,05:00,26.265,26.29,26.242,26.281,37902
10/28/2015,05:30,26.267,26.353,26.26,26.312,83384
10/28/2015,06:00,26.292,26.335,26.256,26.312,82949
10/28/2015,06:30,26.312,26.335,26.256,26.335,133388
10/28/2015,07:00,26.346,26.434,26.269,26.278,521304
10/28/2015,07:30,26.278,26.29,26.053,26.132,761365
10/28/2015,08:00,26.15,26.425,26.062,26.197,2554321
10/28/2015,08:30,26.188,26.33,26.177,26.301,1923266
10/28/2015,09:00,26.312,26.357,26.247,26.357,1973999
10/28/2015,09:30,26.341,26.571,26.184,26.337,75796065
10/28/2015,10:00,26.335,26.357,26.145,26.279,38634043
10/28/2015,10:30,26.279,26.355,26.26,26.326,20851928
10/28/2015,11:00,26.328,26.4,26.218,26.38,18886615
10/28/2015,11:30,26.379,26.459,26.378,26.454,16423150
10/28/2015,12:00,26.454,26.592,26.454,26.569,22251197
10/28/2015,12:30,26.569,26.571,26.453,26.522,14171280
10/28/2015,13:00,26.522,26.612,26.481,26.574,14650381
10/28/2015,13:30,26.574,26.587,26.47,26.504,16511837
10/28/2015,14:00,26.504,26.551,26.378,26.483,25603446
10/28/2015,14:30,26.485,26.61,26.427,26.607,17331039
10/28/2015,15:00,26.605,26.779,26.47,26.762,24484485
10/28/2015,15:30,26.765,26.875,26.751,26.875,37904611
10/28/2015,16:00,26.869,26.887,26.853,26.871,7375119
10/28/2015,16:30,26.873,26.875,26.826,26.835,1401204
10/28/2015,17:00,26.83,26.851,26.83,26.83,93749
10/28/2015,17:30,26.835,26.835,26.812,26.819,68010
10/28/2015,18:00,26.819,26.828,26.812,26.826,100059
10/28/2015,18:30,26.826,26.826,26.81,26.81,51969
10/28/2015,19:00,26.815,26.824,26.785,26.785,77850
10/28/2015,19:30,26.788,26.808,26.785,26.808,90785
10/29/2015,04:00,26.853,26.853,26.621,26.643,19325
10/29/2015,04:30,26.664,26.684,26.641,26.679,5332
10/29/2015,05:00,26.639,26.65,26.623,26.65,29990
10/29/2015,05:30,26.67,26.673,26.639,26.673,10344
10/29/2015,06:00,26.67,26.673,26.639,26.673,24624
10/29/2015,06:30,26.673,26.684,26.632,26.661,9767
10/29/2015,07:00,26.673,26.695,26.661,26.673,63123
10/29/2015,07:30,26.673,26.679,26.628,26.628,178734
10/29/2015,08:00,26.641,26.695,26.63,26.688,468174
10/29/2015,08:30,26.693,26.718,26.673,26.718,434588
10/29/2015,09:00,26.718,26.751,26.718,26.74,471670
10/29/2015,09:30,26.74,26.853,26.65,26.688,30023389
10/29/2015,10:00,26.693,26.851,26.643,26.736,19774805
10/29/2015,10:30,26.735,26.826,26.722,26.727,11798922
10/29/2015,11:00,26.729,26.763,26.688,26.718,9459846
10/29/2015,11:30,26.719,26.792,26.711,26.781,7970876
10/29/2015,12:00,26.779,26.869,26.745,26.864,7873370
10/29/2015,12:30,26.866,26.993,26.854,26.984,14639950
10/29/2015,13:00,26.984,27.002,26.932,26.952,9549236
10/29/2015,13:30,26.95,27.004,26.878,26.984,18722898
10/29/2015,14:00,26.984,27.119,26.965,27.098,17749143
10/29/2015,14:30,27.099,27.157,27.069,27.141,14126504
